datetime,temp,humidity,wind_speed,solar_ghi,mrt,pa,utci,heat_risk_score,shift,Heat_Risk_Score,Measure 1,Measure 2,Measure 3,Measure 4
2025-05-29 19:00:00,17.35,79,5.51,261.62,25.198600000000003,1.563984954401351,16.26413829670205,1,0,1,No measures required,,,
2025-05-29 20:00:00,17.56,79,5.52,117.18,21.0754,1.5848750593507086,14.827529251808889,1,0,1,No measures required,,,
2025-05-29 21:00:00,16.77,83,5.48,16.2,17.256,1.5838713288128887,12.933817864222323,1,0,1,No measures required,,,
2025-05-29 22:00:00,15.92,86,5.45,0.0,15.92,1.5545913804174014,11.82720038481414,1,0,1,No measures required,,,
2025-05-29 23:00:00,15.53,88,5.42,0.0,15.53,1.551513084196484,11.498061036600632,1,0,1,No measures required,,,
2025-05-30 00:00:00,15.37,89,5.35,0.0,15.37,1.5531166634965532,11.508019068745876,1,0,1,No measures required,,,
2025-05-30 01:00:00,15.08,91,5.14,0.0,15.08,1.5586909424298907,11.72747606912078,1,0,1,No measures required,,,
2025-05-30 02:00:00,14.58,94,4.75,0.0,14.58,1.558999836337202,12.121235860851732,1,0,1,No measures required,,,
2025-05-30 03:00:00,14.16,96,4.37,0.0,14.16,1.5494840809232688,12.520213728117875,1,0,1,No measures required,,,
2025-05-30 04:00:00,13.9,97,4.09,0.0,13.9,1.5394376857042558,12.84698284591143,1,0,1,No measures required,,,
2025-05-30 05:00:00,13.76,97,4.07,5.5,13.925,1.525497420498323,12.749602924121048,1,0,1,No measures required,,,
2025-05-30 06:00:00,13.71,97,4.01,84.88,16.2564,1.5205457574771692,13.75960802231269,1,0,1,No measures required,,,
2025-05-30 07:00:00,14.64,93,4.19,222.44,21.3132,1.5484032585576128,16.04884290760245,1,0,1,No measures required,,,
2025-05-30 08:00:00,16.35,84,4.87,378.0,27.69,1.5606901946867853,18.10639483521756,1,1,1,No measures required,,,
